Id,Datum,Ort,Stadt,Bericht,Ermittler
160,17.6.2024,Supermarkt,Norderstedt,Um 13:00 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte unerkannt entkommen.,Julia Groß
161,18.6.2024,Krankenhaus,Reinbek,Ein Einbruch im Krankenhaus wurde um 4:15 Uhr gemeldet. Medizinische Geräte und Medikamente wurden gestohlen.,Jonas Faber
162,6.6.2024,Wohnhaus,Kiel,Um 22:45 Uhr wurde ein Einbruch in ein Wohnhaus gemeldet. Der Täter entkam mit Wertsachen.,Alexander Wolf
163,21.6.2024,Schule,Lübeck,Vandalismus in der Schule wurde um 6:30 Uhr gemeldet. Fenster wurden eingeschlagen und Möbel beschädigt.,Tobias Scholz
164,9.6.2024,Restaurant,Flensburg,Ein Raubüberfall im Restaurant wurde um 21:00 Uhr gemeldet. Der Täter bedrohte das Personal und entkam mit dem Bargeld.,Jan Lehmann
165,23.6.2024,Café,Neumünster,Um 10:30 Uhr wurde ein Diebstahl im Café gemeldet. Ein Laptop wurde gestohlen.,Lukas Schuster
166,8.6.2024,Park,Elmshorn,Ein Überfall im Park wurde um 20:00 Uhr gemeldet. Ein Passant wurde ausgeraubt.,Julia Groß
167,2.6.2024,Kino,Rendsburg,Ein Einbruch im Kino wurde um 4:00 Uhr gemeldet. Elektronik und Bargeld wurden gestohlen.,Jonas Faber
168,20.6.2024,Tankstelle,Itzehoe,Um 22:00 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit dem Geld.,Alexander Wolf
169,21.6.2024,Einkaufszentrum,Bad Oldesloe,Ein Taschendiebstahl wurde um 15:30 Uhr im Einkaufszentrum gemeldet.,Tobias Scholz
170,13.6.2024,Fitnessstudio,Norderstedt,Ein Diebstahl im Fitnessstudio wurde um 8:00 Uhr gemeldet. Mehrere Schließfächer wurden aufgebrochen.,Jan Lehmann
171,7.6.2024,Supermarkt,Reinbek,Um 13:45 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte entkommen.,Lukas Schuster
172,11.6.2024,Café,Kiel,Ein Raubüberfall im Café wurde um 10:00 Uhr gemeldet. Der Täter bedrohte das Personal mit einer Waffe.,Julia Groß
173,19.6.2024,Park,Lübeck,Um 20:30 Uhr wurde ein Überfall im Park gemeldet. Ein Passant wurde ausgeraubt.,Jonas Faber
174,24.6.2024,Bibliothek,Flensburg,Ein Einbruch in die Bibliothek wurde um 4:00 Uhr gemeldet. Bücher und Elektronik wurden gestohlen.,Alexander Wolf
175,27.6.2024,Tankstelle,Neumünster,Um 22:15 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit dem Bargeld.,Tobias Scholz
176,18.6.2024,Hotel,Elmshorn,Ein Einbruch in ein Hotelzimmer wurde um 2:30 Uhr gemeldet. Wertsachen der Gäste wurden gestohlen.,Jan Lehmann
177,12.6.2024,Supermarkt,Rendsburg,Um 14:00 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte unerkannt entkommen.,Lukas Schuster
178,5.6.2024,Krankenhaus,Itzehoe,Ein Einbruch im Krankenhaus wurde um 3:45 Uhr gemeldet. Medizinische Geräte und Medikamente wurden gestohlen.,Julia Groß
179,25.6.2024,Wohnhaus,Bad Oldesloe,Um 23:00 Uhr wurde ein Einbruch in ein Wohnhaus gemeldet. Der Täter entkam mit Wertsachen.,Jonas Faber
180,17.6.2024,Schule,Norderstedt,Vandalismus in der Schule wurde um 7:00 Uhr gemeldet. Fenster wurden eingeschlagen und Möbel beschädigt.,Alexander Wolf
181,25.6.2024,Restaurant,Reinbek,Ein Raubüberfall im Restaurant wurde um 20:30 Uhr gemeldet. Der Täter bedrohte das Personal und entkam mit dem Bargeld.,Tobias Scholz
182,9.6.2024,Café,Kiel,Um 11:00 Uhr wurde ein Diebstahl im Café gemeldet. Ein Laptop wurde gestohlen.,Jan Lehmann
183,14.6.2024,Park,Lübeck,Ein Überfall im Park wurde um 21:15 Uhr gemeldet. Ein Passant wurde ausgeraubt und leicht verletzt.,Lukas Schuster
184,17.6.2024,Kino,Flensburg,Ein Einbruch im Kino wurde um 5:00 Uhr gemeldet. Elektronik und Bargeld wurden gestohlen.,Julia Groß
185,8.6.2024,Tankstelle,Neumünster,Um 23:30 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit dem Geld.,Jonas Faber
186,15.6.2024,Einkaufszentrum,Elmshorn,Ein Taschendiebstahl wurde um 16:00 Uhr im Einkaufszentrum gemeldet.,Alexander Wolf
187,2.6.2024,Fitnessstudio,Rendsburg,Ein Diebstahl im Fitnessstudio wurde um 9:00 Uhr gemeldet. Mehrere Schließfächer wurden aufgebrochen.,Tobias Scholz
188,18.6.2024,Hotel,Itzehoe,Ein Einbruch in ein Hotelzimmer wurde um 1:30 Uhr gemeldet. Wertsachen der Gäste wurden gestohlen.,Jan Lehmann
189,21.6.2024,Bibliothek,Bad Oldesloe,Ein Einbruch in die Bibliothek wurde um 3:00 Uhr gemeldet. Bücher und Elektronik wurden gestohlen.,Lukas Schuster
190,17.6.2024,Supermarkt,Norderstedt,Um 13:00 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte unerkannt entkommen.,Julia Groß
191,19.6.2024,Krankenhaus,Reinbek,Ein Einbruch im Krankenhaus wurde um 4:15 Uhr gemeldet. Medizinische Geräte und Medikamente wurden gestohlen.,Jonas Faber
192,2.6.2024,Wohnhaus,Kiel,Um 22:45 Uhr wurde ein Einbruch in ein Wohnhaus gemeldet. Der Täter entkam mit Wertsachen.,Alexander Wolf
193,16.6.2024,Schule,Lübeck,Vandalismus in der Schule wurde um 6:30 Uhr gemeldet. Fenster wurden eingeschlagen und Möbel beschädigt.,Tobias Scholz
194,1.6.2024,Restaurant,Flensburg,Ein Raubüberfall im Restaurant wurde um 21:00 Uhr gemeldet. Der Täter bedrohte das Personal und entkam mit dem Bargeld.,Jan Lehmann
195,26.6.2024,Café,Neumünster,Um 10:30 Uhr wurde ein Diebstahl im Café gemeldet. Ein Laptop wurde gestohlen.,Lukas Schuster
196,19.6.2024,Park,Elmshorn,Ein Überfall im Park wurde um 20:00 Uhr gemeldet. Ein Passant wurde ausgeraubt.,Julia Groß
197,4.6.2024,Kino,Rendsburg,Ein Einbruch im Kino wurde um 4:00 Uhr gemeldet. Elektronik und Bargeld wurden gestohlen.,Jonas Faber
198,16.6.2024,Tankstelle,Itzehoe,Um 22:00 Uhr wurde ein Raubüberfall auf eine Tankstelle gemeldet. Der Täter floh mit dem Geld.,Alexander Wolf
199,25.6.2024,Einkaufszentrum,Bad Oldesloe,Ein Taschendiebstahl wurde um 15:30 Uhr im Einkaufszentrum gemeldet.,Tobias Scholz
200,16.6.2024,Fitnessstudio,Norderstedt,Ein Diebstahl im Fitnessstudio wurde um 8:00 Uhr gemeldet. Mehrere Schließfächer wurden aufgebrochen.,Jan Lehmann
201,24.4.2024,Supermarkt,Reinbek,Um 13:45 Uhr wurde ein Ladendiebstahl gemeldet. Der Täter konnte entkommen.,Lukas Schuster
202,3.6.2024,Café,Kiel,Ein Raubüberfall im Café wurde um 10:00 Uhr gemeldet. Der Täter bedrohte das Personal mit einer Waffe.,Julia Groß
